Time [second],Thrust [N],mdot [kg/s]
0.65333072,826.10647,0.36469697
0.65416405,826.10647,0.36469697
0.65499738,826.10647,0.36469697
0.65583071,826.10647,0.36469697
0.65666404,826.10647,0.36469697
0.65749737,826.10647,0.36469697
0.6583307,836.05956,0.369090909
0.65916403,826.10647,0.36469697
0.65999736,826.10647,0.36469697
0.66083069,826.10647,0.36469697
0.66166402,826.10647,0.36469697
0.66249735,836.05956,0.369090909
0.66333068,826.10647,0.36469697
0.66416401,826.10647,0.36469697
0.66499734,826.10647,0.36469697
0.66583067,826.10647,0.36469697
0.666664,826.10647,0.36469697
0.66749733,836.05956,0.369090909
0.66833066,826.10647,0.36469697
0.66916399,836.05956,0.369090909
0.66999732,836.05956,0.369090909
0.67083065,826.10647,0.36469697
0.67166398,836.05956,0.369090909
0.67249731,836.05956,0.369090909
0.67333064,826.10647,0.36469697
0.67416397,836.05956,0.369090909
0.6749973,826.10647,0.36469697
0.67583063,826.10647,0.36469697
0.67666396,836.05956,0.369090909
0.67749729,826.10647,0.36469697
0.67833062,826.10647,0.36469697
0.67916395,836.05956,0.369090909
0.67999728,826.10647,0.36469697
0.68083061,836.05956,0.369090909
0.68166394,836.05956,0.369090909
0.68249727,826.10647,0.36469697
0.6833306,836.05956,0.369090909
