timea	dac1	dac2	dac3	dac3
7.1999998	-0.010571178	-0.003105693	-0.00830349	-0.015768975
7.23	-0.009832306	-0.002478037	-0.00756749	-0.014921759
7.2600002	-0.009721692	-0.002409349	-0.007446963	-0.014759305
7.29	-0.009237832	-0.002024279	-0.006922128	-0.014135681
7.3200002	-0.008874704	-0.001714484	-0.006529809	-0.013690029
7.3499999	-0.007858073	-0.000789381	-0.005440034	-0.012508727
7.3800001	-0.007585023	-0.000562275	-0.005126433	-0.01214918
7.4099998	-0.007521478	-0.000575933	-0.004975395	-0.01192094
7.4400001	-0.007368743	-0.00045991	-0.004778834	-0.011687667
7.4699998	-0.007568741	-0.000722548	-0.004892615	-0.011738808
7.5	-0.00794345	-0.001130208	-0.005227203	-0.012040444
7.5300002	-0.008127966	-0.001379586	-0.00534462	-0.012093
7.5599999	-0.008572941	-0.001860344	-0.005760878	-0.012473475
7.5900002	-0.009101593	-0.002459563	-0.006244979	-0.012887009
7.6199999	-0.009171454	-0.00256749	-0.006298257	-0.012902222
7.6500001	-0.009513163	-0.002986247	-0.006614734	-0.013141651
7.6799998	-0.009468763	-0.002983461	-0.006561199	-0.0130465
7.71	-0.009537379	-0.003133184	-0.006613369	-0.013017564
7.7399998	-0.009340681	-0.002980322	-0.006408974	-0.012769332
7.77	-0.009147333	-0.002868605	-0.006195596	-0.012474325
7.8000002	-0.009159387	-0.002915679	-0.00619405	-0.012437758
7.8299999	-0.008506868	-0.002352234	-0.005511353	-0.011665987
7.8600001	-0.008477598	-0.0023554	-0.005460827	-0.011583025
7.8899999	-0.008141655	-0.002093566	-0.005077425	-0.011125513
7.9200001	-0.00783847	-0.001833056	-0.004748653	-0.010754067
7.9499998	-0.007602374	-0.001667848	-0.004453294	-0.01038782
7.98	-0.00737662	-0.001483712	-0.004197848	-0.010090755
8.0100002	-0.007317737	-0.001498218	-0.004075724	-0.009895242
8.04	-0.007166976	-0.001390085	-0.003895236	-0.009672128
8.0699997	-0.00725353	-0.001552623	-0.003922065	-0.009622973
8.1000004	-0.007475542	-0.001807993	-0.004114804	-0.009782353
