Mach,alpha_deg,delta_deg,CNd,CMd
0.5,8.0,4.0,1.7618452200272814,4.18259190445501
0.5,12.0,4.0,1.0170000863572106,3.0939720937064448
0.5,16.0,4.0,0.5729577951308237,1.8334649444186328
0.5,20.0,4.0,0.38674651171330127,1.375098708313977
0.8,0.0,4.0,1.0456479761137523,7.348183722552808
0.8,2.0,4.0,1.131591645383376,7.276563998161455
0.8,4.0,4.0,1.317802928800893,6.7609019825437136
0.8,8.0,4.0,1.905084668809984,4.497718691776962
0.8,12.0,4.0,1.231859259531271,3.681253833715538
0.8,16.0,4.0,0.7878169683048842,2.7358734717496818
0.8,20.0,4.0,0.6875493541569885,2.5066903536973553
1.2,0.0,4.0,0.8451127478179642,9.238944446484524
1.2,2.0,4.0,0.9453803619658584,8.938141604040842
1.2,4.0,4.0,1.2461832044095416,7.806549958657465
1.2,8.0,4.0,1.9910283380796108,4.683929975194479
1.2,12.0,4.0,1.4896902673401418,5.156620156177409
1.2,16.0,4.0,1.246183204409543,5.085000431786056
1.2,20.0,4.0,1.3321268736791636,4.268535573724627
2.0,0.0,4.0,0.5586338502525526,3.7815214478634336
2.0,2.0,4.0,0.6016056848873641,3.810169337619975
2.0,4.0,4.0,0.7734930234266104,3.294507322002233
2.0,8.0,4.0,1.1459155902616442,1.9050846688099874
2.0,12.0,4.0,0.931056417087587,2.649929802480058
2.0,16.0,4.0,0.9024085273310489,2.778845306384495
2.0,20.0,4.0,1.0170000863572073,2.1056198971057722
3.0,0.0,4.0,0.40107045659157625,2.1199438419840457
3.0,2.0,4.0,0.4153944014698468,2.091295952227505
3.0,4.0,4.0,0.5156620156177406,1.7618452200272814
3.0,8.0,4.0,0.7591690785483398,1.0170000863572106
3.0,12.0,4.0,0.6589014644004473,1.6902254956359268
3.0,16.0,4.0,0.6589014644004441,1.7331973302707402
3.0,20.0,4.0,0.7161972439135328,1.1888874248964545
5.0,0.0,4.0,0.34377467707849396,0.7018732990352585
5.0,2.0,4.0,0.35809862195676484,0.716197243913529
5.0,4.0,4.0,0.429718346348117,0.6016056848873645
5.0,8.0,4.0,0.5872817400090943,0.4010704565915758
5.0,12.0,4.0,0.5872817400090927,0.7734930234266121
5.0,16.0,4.0,0.6302535746439061,0.7448451336700709
5.0,20.0,4.0,0.6875493541569822,0.5586338502525515
7.0,0.0,4.0,0.2578310078088704,0.41539440146984685
7.0,2.0,4.0,0.27215495268714085,0.444042291226388
7.0,4.0,4.0,0.32945073220022364,0.38674651171330565
7.0,8.0,4.0,0.4870141258612002,0.31512678732195265
7.0,12.0,4.0,0.5443099053742826,0.6732254092787179
7.0,16.0,4.0,0.6016056848873649,0.6732254092787163
7.0,20.0,4.0,0.6732254092787194,0.5013380707394691
9.0,0.0,4.0,0.20053522829578813,0.3008028424436822
9.0,2.0,4.0,0.2291831180523293,0.34377467707849396
9.0,4.0,4.0,0.30080284244368166,0.34377467707849396
9.0,8.0,4.0,0.4583662361046574,0.3294507322002234
9.0,12.0,4.0,0.5013380707394691,0.687549354156988
9.0,16.0,4.0,0.5872817400090959,0.6732254092787171
9.0,20.0,4.0,0.5586338502525547,0.4297183463481178
11.0,0.0,4.0,0.15756339366097638,0.2435070629305999
11.0,2.0,4.0,0.2005352282957881,0.30080284244368216
11.0,4.0,4.0,0.27215495268714046,0.30080284244368216
11.0,8.0,4.0,0.4297183463481178,0.34377467707849396
11.0,12.0,4.0,0.3008028424436809,0.48701412586119935
11.0,16.0,4.0,0.4440422912263868,0.5729577951308229
11.0,20.0,4.0,0.5443099053742857,0.5156620156177414
13.0,0.0,4.0,0.1432394487827058,0.2291831180523293
13.0,2.0,4.0,0.17188733853924693,0.25783100780887047
13.0,4.0,4.0,0.2148591731740589,0.2435070629305999
13.0,8.0,4.0,0.35809862195676484,0.25783100780887047
13.0,12.0,4.0,0.4010704565915766,0.6589014644004467
13.0,16.0,4.0,0.5013380707394723,0.6159296297656355
13.0,20.0,4.0,0.6016056848873681,0.5586338502525532
0.3,0.0,8.0,0.9382183895267231,6.854007624252472
0.3,2.0,8.0,1.0384860036746173,6.631986478639278
0.3,4.0,8.0,1.2103733422138636,6.016056848873643
0.3,8.0,8.0,1.4180705429487872,3.2372115424891508
0.3,12.0,8.0,0.7376831612309348,2.0698100349100983
0.3,16.0,8.0,0.3652605943959009,1.4825282949010057
0.3,20.0,8.0,0.11459155902616475,0.03580986219567569
0.5,0.0,8.0,0.9382183895267231,6.9614372108395015
0.5,2.0,8.0,1.0456479761137525,6.739416065226308
0.5,4.0,8.0,1.2175353146529988,6.152134325217214
0.5,8.0,8.0,1.4180705429487872,3.265859432245692
0.5,12.0,8.0,0.6875493541569885,1.8549508617360402
0.5,16.0,8.0,0.32945073220022525,1.3679367358748409
0.5,20.0,8.0,0.13607747634356826,0.5013380707394723
0.8,0.0,8.0,0.9668662792832643,7.727768261826978
0.8,2.0,8.0,1.0742958658702937,7.484261198896378
0.8,4.0,8.0,1.296317011483487,6.732254092787173
0.8,8.0,8.0,1.6114437988054393,3.681253833715539
0.8,12.0,8.0,0.916732472209318,2.4995283812582154
0.8,16.0,8.0,0.551471877813417,2.427908656866863
0.8,20.0,8.0,0.44404229122639,1.8549508617360426
1.2,0.0,8.0,0.7448451336700701,9.575557151123883
1.2,2.0,8.0,0.8451127478179642,9.188810639410576
1.2,4.0,8.0,1.1888874248964585,7.792226013779197
1.2,8.0,8.0,1.8621128341751756,4.218401766650686
1.2,12.0,8.0,1.3321268736791636,4.5263665815335035
1.2,16.0,8.0,1.0886198107485652,4.755549699585832
1.2,20.0,8.0,1.138753617822513,3.8746270895721913
2.0,0.0,8.0,0.5586338502525526,3.8817890620113276
2.0,2.0,8.0,0.5944437124482292,3.9032749793287334
2.0,4.0,8.0,0.7520071061092053,3.3732890188327214
2.0,8.0,8.0,1.1315916453833752,1.840626916857769
2.0,12.0,8.0,0.9024085273310458,2.5496621883321633
2.0,16.0,8.0,0.852274720257101,2.6929016371148697
2.0,20.0,8.0,0.9668662792832626,2.0340001727144212
3.0,0.0,8.0,0.39390848415244095,2.148591731740587
3.0,2.0,8.0,0.415394401469847,2.1557537041797223
3.0,4.0,8.0,0.5156620156177409,1.8334649444186344
3.0,8.0,8.0,0.7734930234266104,1.0170000863572106
3.0,12.0,8.0,0.6517394919613112,1.6830635231967932
3.0,16.0,8.0,0.6302535746439061,1.640091688561982
3.0,20.0,8.0,0.7233592163526642,1.2318592595312678
5.0,0.0,8.0,0.35093664951762926,0.7305211887917995
5.0,2.0,8.0,0.3724225668350352,0.766331050987476
5.0,4.0,8.0,0.444042291226388,0.6732254092787173
5.0,8.0,8.0,0.6230916022047708,0.4225563739089821
5.0,12.0,8.0,0.6087676573264994,0.8021409131831528
5.0,16.0,8.0,0.6302535746439061,0.7591690785483406
5.0,20.0,8.0,0.694711326596123,0.5729577951308237
7.0,0.0,8.0,0.272154952687141,0.444042291226388
7.0,2.0,8.0,0.3079648148828176,0.5085000431786056
7.0,4.0,8.0,0.37958453927417074,0.4583662361046586
7.0,8.0,8.0,0.5514718778134179,0.35093664951762915
7.0,12.0,8.0,0.5944437124482305,0.7376831612309349
7.0,16.0,8.0,0.62309160220477,0.6660634368395818
