time ,thrust [N],mdot [kg]
0.2533232,51677.62,22.4466043075934
0.2541565,51707.038,22.4593822607097
0.2549898,51726.65,22.4679008961206
0.2558231,51726.65,22.4679008961206
0.2566564,51756.068,22.4806788492368
0.2574897,51697.232,22.4551229430043
0.258323,51687.426,22.4508636252989
0.2591563,51765.874,22.4849381669423
0.2599896,51873.74,22.5317906617019
0.2608229,51834.516,22.5147533908802
0.2616562,51726.65,22.4679008961206
0.2624895,51618.784,22.4210484013609
0.2633228,51579.56,22.4040111305392
0.2641561,51530.53,22.382714542012
0.2649894,51559.948,22.3954924951283
0.2658227,51667.814,22.442344989888
0.266656,51726.65,22.4679008961206
0.2674893,51716.844,22.4636415784151
0.2683226,51677.62,22.4466043075934
0.2691559,51687.426,22.4508636252989
0.2699892,51795.292,22.4977161200585
0.2708225,51863.934,22.5275313439965
0.2716558,51912.964,22.5488279325236
0.2724891,51952.188,22.5658652033453
0.2733224,51932.576,22.5573465679345
0.2741557,51834.516,22.5147533908802
0.274989,51765.874,22.4849381669423
0.2758223,51746.262,22.4764195315314
0.2766556,51707.038,22.4593822607097
0.2774889,51638.396,22.4295670367717
0.2783222,51569.754,22.3997518128337
0.2791555,51608.978,22.4167890836555
0.2799888,51687.426,22.4508636252989
0.2808221,51697.232,22.4551229430043
0.2816554,51667.814,22.442344989888
0.2824887,51697.232,22.4551229430043
0.283322,51736.456,22.472160213826
0.2841553,51814.904,22.5062347554694
0.2849886,51912.964,22.5488279325236
0.2858219,51942.382,22.5616058856399
0.2866552,51903.158,22.5445686148182
0.2874885,51805.098,22.501975437764
0.2883218,51726.65,22.4679008961206
0.2891551,51765.874,22.4849381669423
0.2899884,51785.486,22.4934568023531
0.2908217,51736.456,22.472160213826
0.291655,51707.038,22.4593822607097
0.2924883,51687.426,22.4508636252989
0.2933216,51736.456,22.472160213826
0.2941549,51736.456,22.472160213826
0.2949882,51687.426,22.4508636252989
0.2958215,51716.844,22.4636415784151
0.2966548,51765.874,22.4849381669423
