time_s,thrust_N,mass_flow_kg_s
4.97,88668.4,36.44585840649764
4.99,89063.5,36.608258524875865
5.0,88868.7,36.52818881325836
5.02,88528.2,36.388231232119956
5.04,89056.8,36.60550458715596
5.06,88883.2,36.53414882772681
5.07,88676.2,36.44906448324619
5.09,88771.9,36.48840057873795
5.11,88499.2,36.37631120318306
5.13,88390.2,36.33150833579954
5.14,88758.5,36.48289270329815
5.16,88799.7,36.499827365098156
5.18,88631.7,36.43077340436026
5.2,88704.0,36.46049126960639
5.21,88613.9,36.42345697280589
5.23,88777.5,36.490702377429216
5.25,88805.3,36.50212916378942
5.27,88887.6,36.53595738384137
5.28,88951.1,36.562058136858376
5.3,89082.4,36.616027095458875
5.32,89257.1,36.687834993916674
5.34,89189.2,36.65992568478511
5.35,89514.2,36.79351221597448
5.37,89537.6,36.803130446220116
5.39,89418.5,36.75417612048272
5.41,89657.8,36.85253691098615
5.42,89804.7,36.91291802308375
5.44,89532.0,36.80082864752885
5.46,89490.8,36.783893985728845
5.48,90097.3,37.03318700470224
5.49,89720.1,36.878144421426455
5.51,89506.4,36.79030613922593
5.53,89415.1,36.75277859984874
5.55,89448.5,36.7665071849002
5.56,89319.4,36.71344250435697
5.58,88837.6,36.51540560981224
5.6,88701.8,36.45958699154911
5.62,89183.7,36.6576649896419
5.63,88957.7,36.564770971030214
5.65,88814.2,36.5057873795666
5.67,88957.7,36.564770971030214
5.69,89254.9,36.68693071585939
5.7,88886.5,36.53550524481273
5.72,89044.6,36.600489954292854
5.74,89184.8,36.65811712867055
5.76,89653.3,36.850687251323535
5.77,89901.5,36.952706257604156
5.79,89542.0,36.80493900233468
5.81,89829.1,36.92294728880997
5.83,90331.1,37.12928710006248
5.84,90327.7,37.12788957942849
5.86,90295.4,37.11461313340567
5.88,89979.4,36.984725921541546
5.9,89924.9,36.962324487849784
5.91,90101.8,37.03503666436487
5.93,89863.6,36.93712801289007
5.95,89490.8,36.783893985728845
5.97,89343.9,36.72351287363125
5.98,89448.5,36.7665071849002
6.0,89035.7,36.59683173851567
6.02,88917.7,36.54832955180691
6.04,89039.0,36.59818815560159
6.05,89458.5,36.77061753970602
6.07,89736.8,36.88500871395219
6.09,89394.0,36.744105751208444
6.11,89733.4,36.8836111933182
6.12,90232.0,37.088553483936735
6.14,90496.9,37.19743678274308
6.16,90616.0,37.24639110848048
6.18,90518.0,37.20610963138338
6.19,89893.7,36.94950018085561
6.21,89709.0,36.873581927591985
6.23,89757.9,36.89368156259248
6.25,89497.5,36.78664792344875
6.26,89149.2,36.6434842655618
6.28,88817.5,36.50714379665253
6.3,88870.9,36.52909309131564
6.32,89033.4,36.59588635691033
6.33,89584.3,36.82232580316333
6.35,89617.7,36.83605438821479
6.37,89510.9,36.79215579888856
6.39,89466.3,36.77382361645457
6.4,89759.0,36.89413370162112
6.42,90098.5,37.033680247278944
6.44,90366.7,37.14391996317122
6.46,90068.4,37.0213080793134
6.47,89647.7,36.84838545263227
6.49,89197.0,36.663131761533656
6.51,89021.2,36.59087172404722
6.53,88888.8,36.53645062641807
6.54,89170.3,36.6521571142021
6.56,88915.5,36.54742527374963
6.58,88670.6,36.44676268455493
6.6,88984.5,36.575786721909836
6.61,89723.4,36.87950083851238
6.63,90199.7,37.07527703791391
6.65,90340.0,37.13294531583966
6.67,90295.4,37.11461313340567
6.68,89860.3,36.93577159580415
6.7,89814.7,36.91702837788958
6.72,89863.6,36.93712801289007
6.74,89348.4,36.72536253329387
6.75,88907.7,36.544219197001084
6.77,88459.2,36.35986978395975
6.79,88697.3,36.45773733188649
6.81,88948.8,36.561112755253035
6.82,89350.6,36.72626681135116
6.84,89902.6,36.9531583966328
6.86,90130.7,37.0469155897537
6.88,90451.2,37.17865246128046
6.89,90682.7,37.273807175035344
6.91,90488.0,37.1937785669659
6.93,90224.2,37.08534740718819
6.95,89552.0,36.80904935714051
6.96,89024.5,36.59222814113314
6.98,88725.2,36.469205221794745
7.0,88923.2,36.550590246950115
7.02,89211.5,36.669091776002105
7.03,89788.0,36.90605373055802
7.05,90141.9,37.05151918713623
7.07,90425.7,37.168171056525594
7.09,90535.8,37.21342606293775
7.1,90276.5,37.10684456282266
7.12,89845.8,36.9298115813357
7.14,89646.6,36.84793331360363
7.16,89601.0,36.82919009568906
