Time (s),Thrust (N),mdot (kg/s)
0.470596416,7317.372305,3.186394137
0.472135718,7318.432038,3.186771954
0.473674977,7319.490467,3.18714931
0.475214194,7320.547577,3.187526201
0.476753369,7321.603353,3.18790262
0.478292501,7322.657777,3.188278562
0.479831591,7323.710833,3.188654021
0.481370639,7324.762504,3.18902899
0.482909644,7325.812771,3.189403464
0.484448608,7326.861617,3.189777436
0.48598753,7327.909023,3.190150899
0.487526409,7328.954969,3.190523846
0.489065247,7329.999437,3.190896271
0.490604043,7331.042404,3.191268166
0.492142798,7332.083852,3.191639525
0.49368151,7333.123759,3.192010339
0.495220182,7334.162104,3.192380601
0.496758811,7335.198864,3.192750303
0.4982974,7336.234016,3.193119438
0.499835947,7337.267539,3.193487996
0.501374453,7338.299409,3.193855971
0.502912918,7339.3296,3.194223353
0.504451341,7340.358091,3.194590134
0.505989724,7341.384854,3.194956305
0.507528066,7342.409866,3.195321857
0.509066367,7343.4331,3.195686782
0.510604627,7344.454531,3.196051068
0.512142847,7345.47413,3.196414709
0.513681026,7346.491872,3.196777693
0.515219164,7347.507728,3.19714001
0.516757262,7348.521671,3.197501652
0.51829532,7349.533672,3.197862608
0.519833338,7350.543701,3.198222867
0.521371316,7351.55173,3.198582419
0.522909254,7352.557728,3.198941254
0.524447151,7353.561665,3.199299361
0.525985009,7354.563509,3.199656728
0.527522828,7355.56323,3.200013345
0.529060606,7356.560796,3.200369201
0.530598346,7357.556173,3.200724283
0.532136045,7358.54933,3.201078582
0.533673706,7359.540233,3.201432083
0.535211327,7360.528848,3.201784777
0.53674891,7361.515142,3.20213665
0.538286453,7362.499079,3.20248769
0.539823957,7363.480623,3.202837886
0.541361423,7364.459741,3.203187223
0.54289885,7365.436395,3.203535691
0.544436239,7366.410549,3.203883275
0.545973589,7367.382165,3.204229962
0.547510901,7368.351206,3.204575739
0.549048175,7369.317648,3.204920599
0.550585411,7370.281493,3.20526454
0.552122608,7371.242746,3.205607566
0.553659768,7372.201413,3.205949678
0.555196891,7373.157502,3.20629088
0.556733976,7374.111019,3.206631172
0.558271023,7375.061969,3.206970558
0.559808033,7376.010359,3.20730904
0.561345006,7376.956193,3.207646618
0.562881942,7377.899475,3.207983295
0.564418841,7378.840209,3.208319072
0.565955703,7379.778397,3.208653949
0.567492529,7380.714043,3.208987928
0.569029318,7381.647148,3.209321009
0.57056607,7382.577714,3.209653193
0.572102786,7383.505741,3.209984481
0.573639466,7384.43123,3.210314871
0.575176109,7385.354181,3.210644365
0.576712717,7386.274592,3.210972962
0.578249289,7387.192463,3.211300661
0.579785825,7388.107791,3.211627462
0.581322325,7389.020574,3.211953363
0.58285879,7389.930808,3.212278364
0.58439522,7390.838491,3.212602464
0.585931614,7391.743617,3.21292566
0.587467973,7392.646183,3.213247952
0.589004297,7393.546182,3.213569337
0.590540586,7394.443609,3.213889813
0.59207684,7395.338458,3.214209379
0.59361306,7396.230721,3.21452803
0.595149245,7397.120391,3.214845766
0.596685395,7398.00746,3.215162583
0.598221511,7398.891919,3.215478477
0.599757593,7399.773759,3.215793446
0.601293641,7400.65297,3.216107486
0.602829655,7401.529541,3.216420594
0.604365635,7402.403463,3.216732765
0.605901582,7403.274722,3.217043996
0.607437495,7404.143308,3.217354282
0.608973374,7405.009208,3.217663619
0.61050922,7405.872407,3.217972003
0.612045033,7406.732894,3.218279427
0.613580812,7407.590653,3.218585888
0.615116559,7408.44567,3.21889138
0.616652273,7409.297928,3.219195897
0.618187954,7410.147413,3.219499435
0.619723602,7410.994108,3.219801986
0.621259218,7411.837995,3.220103545
0.622794802,7412.679056,3.220404107
0.624330354,7413.517275,3.220703663
0.625865873,7414.352631,3.221002209
0.627401361,7415.185106,3.221299736
0.628936816,7416.01468,3.221596238
0.63047224,7416.841331,3.221891707
0.632007633,7417.66504,3.222186137
0.633542994,7418.485785,3.222479519
0.635078323,7419.303542,3.222771846
0.636613622,7420.118291,3.22306311
0.63814889,7420.930006,3.223353302
0.639684126,7421.738666,3.223642414
0.641219332,7422.544244,3.223930438
0.642754508,7423.346717,3.224217364
0.644289653,7424.146058,3.224503183
0.645824768,7424.942242,3.224787887
0.647359852,7425.735242,3.225071466
0.648894907,7426.52503,3.22535391
0.650429932,7427.31158,3.22563521
0.651964927,7428.094862,3.225915355
0.653499892,7428.874847,3.226194335
0.655034828,7429.651507,3.22647214
0.656569735,7430.424812,3.226748759
0.658104612,7431.19473,3.227024182
0.659639461,7431.96123,3.227298397
0.661174281,7432.724281,3.227571393
0.662709072,7433.483851,3.227843159
0.664243835,7434.239906,3.228113683
0.665778569,7434.992414,3.228382954
0.667313275,7435.74134,3.228650959
0.668847954,7436.48665,3.228917686
0.670382604,7437.228309,3.229183122
0.671917227,7437.966281,3.229447256
0.673451822,7438.700529,3.229710074
0.67498639,7439.431018,3.229971564
0.67652093,7440.15771,3.230231712
0.678055444,7440.880566,3.230490504
0.679589931,7441.599549,3.230747928
0.681124391,7442.31462,3.231003969
0.682658825,7443.025738,3.231258613
0.684193232,7443.732864,3.231511847
0.685727613,7444.435957,3.231763655
0.687261969,7445.134976,3.232014024
0.688796298,7445.829878,3.232262938
0.690330602,7446.520623,3.232510383
0.691864881,7447.207165,3.232756342
0.693399134,7447.889463,3.233000802
0.694933362,7448.567472,3.233243746
0.696467566,7449.241147,3.233485159
0.698001745,7449.910443,3.233725024
0.6995359,7450.575315,3.233963325
0.70107003,7451.235717,3.234200047
0.702604136,7451.891612,3.234435176
0.704138219,7452.542974,3.234668703
0.705672277,7453.189778,3.23490062
0.707206313,7453.832002,3.235130918
0.708740325,7454.469624,3.235359589
0.710274314,7455.102622,3.235586627
0.711808281,7455.730974,3.235812023
0.713342225,7456.354661,3.236035769
0.714876146,7456.97366,3.23625786
0.716410045,7457.587954,3.236478288
0.717943923,7458.197522,3.236697046
0.719477778,7458.802345,3.236914127
0.721011612,7459.402406,3.237129524
0.722545425,7459.997685,3.237343232
0.724079216,7460.588165,3.237555245
0.725612987,7461.173829,3.237765555
0.727146737,7461.754661,3.237974157
0.728680467,7462.330643,3.238181046
0.730214176,7462.901761,3.238386216
0.731747865,7463.467998,3.238589661
0.733281535,7464.029341,3.238791376
0.734815184,7464.585774,3.238991356
0.736348815,7465.137283,3.239189597
0.737882426,7465.683856,3.239386092
0.739416019,7466.225478,3.239580838
0.740949592,7466.762137,3.23977383
0.742483147,7467.293821,3.239965064
0.744016684,7467.820518,3.240154536
0.745550203,7468.342217,3.240342241
0.747083704,7468.858908,3.240528176
0.748617187,7469.370578,3.240712338
0.750150653,7469.87722,3.240894722
0.751684102,7470.378822,3.241075325
0.753217534,7470.875377,3.241254144
0.754750949,7471.366875,3.241431176
0.756284347,7471.853308,3.241606419
0.75781773,7472.334669,3.241779869
0.759351096,7472.81095,3.241951523
0.760884447,7473.282145,3.24212138
0.762417782,7473.748247,3.242289438
0.763951101,7474.209251,3.242455693
0.765484405,7474.66515,3.242620145
0.767017695,7475.11594,3.242782791
0.76855097,7475.561617,3.24294363
0.77008423,7476.002176,3.24310266
0.771617476,7476.437613,3.24325988
0.773150708,7476.867926,3.243415289
0.774683927,7477.293112,3.243568886
0.776217131,7477.713168,3.243720671
0.777750323,7478.128092,3.243870642
0.779283501,7478.537884,3.244018799
0.780816667,7478.942542,3.244165141
0.782349819,7479.342066,3.244309669
0.78388296,7479.736456,3.244452383
0.785416088,7480.125711,3.244593282
0.786949204,7480.509834,3.244732367
0.788482309,7480.888826,3.244869639
0.790015402,7481.262687,3.245005098
0.791548484,7481.631421,3.245138744
0.793081554,7481.99503,3.24527058
0.794614614,7482.353517,3.245400605
0.796147663,7482.706886,3.245528822
0.797680702,7483.055141,3.245655231
0.799213731,7483.398286,3.245779834
0.80074675,7483.736326,3.245902633
0.802279759,7484.069267,3.24602363
0.803812758,7484.397115,3.246142827
0.805345749,7484.719876,3.246260226
0.80687873,7485.037556,3.246375829
0.808411703,7485.350162,3.246489639
0.809944667,7485.657703,3.246601659
0.811477622,7485.960187,3.246711892
0.81301057,7486.257622,3.246820341
0.81454351,7486.550017,3.246927008
0.816076441,7486.837381,3.247031897
0.817609366,7487.119725,3.247135012
0.819142283,7487.397059,3.247236356
0.820675193,7487.669393,3.247335933
0.822208097,7487.936739,3.247433748
0.823740994,7488.199109,3.247529803
0.825273884,7488.456514,3.247624105
0.826806769,7488.708968,3.247716656
0.828339647,7488.956484,3.247807461
0.82987252,7489.199074,3.247896527
0.831405387,7489.436754,3.247983856
0.832938249,7489.669536,3.248069455
0.834471106,7489.897437,3.248153328
0.836003958,7490.120472,3.248235482
0.837536806,7490.338656,3.248315921
0.839069649,7490.552006,3.248394652
0.840602488,7490.760538,3.24847168
0.842135322,7490.964269,3.248547011
0.843668154,7491.163217,3.248620652
0.845200981,7491.357401,3.248692608
0.846733805,7491.546838,3.248762888
0.848266626,7491.731547,3.248831496
0.849799445,7491.911549,3.24889844
0.85133226,7492.086862,3.248963728
0.852865073,7492.257507,3.249027365
0.854397884,7492.423493,3.249089356
0.855930692,7492.584812,3.249149697
0.857463499,7492.741449,3.249208383
0.858996304,7492.893385,3.249265408
0.860529107,7493.040605,3.249320766
0.862061909,7493.183092,3.249374451
0.86359471,7493.320831,3.249426458
0.86512751,7493.453807,3.249476781
0.86666031,7493.582007,3.249525416
0.868193109,7493.705418,3.249572359
0.869725908,7493.824028,3.249617604
0.871258707,7493.937825,3.249661149
0.872791506,7494.046799,3.249702988
0.874324305,7494.150941,3.24974312
0.875857105,7494.250241,3.24978154
0.877389906,7494.344691,3.249818246
0.878922708,7494.434285,3.249853235
0.880455512,7494.519015,3.249886505
0.881988316,7494.598876,3.249918055
0.883521123,7494.673864,3.249947881
0.885053931,7494.743974,3.249975984
0.886586741,7494.809203,3.250002361
0.888119554,7494.869549,3.250027013
0.889652369,7494.92501,3.250049937
0.891185187,7494.975586,3.250071135
0.892718008,7495.021276,3.250090606
0.894250832,7495.062082,3.250108351
0.89578366,7495.098004,3.250124369
0.897316491,7495.129047,3.250138662
0.898849326,7495.155212,3.250151232
0.900382165,7495.176504,3.250162079
0.901915009,7495.192928,3.250171205
0.903447857,7495.20449,3.250178613
0.904980709,7495.211197,3.250184304
0.906513567,7495.213054,3.250188282
0.908046429,7495.210072,3.250190548
0.909579297,7495.202258,3.250191107
0.911112171,7495.189623,3.250189962
0.91264505,7495.172177,3.250187116
0.914177935,7495.149932,3.250182574
0.915710826,7495.122899,3.250176339
0.917243724,7495.091092,3.250168417
0.918776629,7495.054525,3.250158812
0.92030954,7495.013213,3.25014753
0.921842458,7494.96717,3.250134575
0.923375383,7494.916413,3.250119955
0.924908316,7494.860959,3.250103674
0.926441257,7494.800827,3.250085739
0.927974205,7494.736034,3.250066157
0.929507162,7494.6666,3.250044935
0.931040126,7494.592546,3.250022079
0.932573099,7494.513893,3.249997597
0.934106081,7494.430663,3.249971498
0.935639072,7494.342878,3.249943788
0.937172072,7494.250562,3.249914477
0.938705081,7494.153739,3.249883573
0.940238099,7494.052435,3.249851085
0.941771127,7493.946676,3.249817022
0.943304165,7493.836488,3.249781393
0.944837213,7493.721899,3.249744209
0.946370272,7493.602938,3.249705479
0.94790334,7493.479633,3.249665213
0.94943642,7493.352015,3.249623423
0.95096951,7493.220115,3.249580119
0.952502611,7493.083964,3.249535313
0.954035724,7492.943594,3.249489015
0.955568847,7492.79904,3.249441238
0.957101983,7492.650335,3.249391993
0.95863513,7492.497513,3.249341294
0.960168289,7492.340612,3.249289152
0.96170146,7492.179666,3.249235581
0.963234644,7492.014715,3.249180593
0.96476784,7491.845794,3.249124203
0.966301048,7491.672945,3.249066423
0.96783427,7491.496206,3.249007269
0.969367504,7491.315618,3.248946754
0.970900752,7491.131222,3.248884893
0.972434013,7490.94306,3.2488217
0.973967287,7490.751176,3.248757192
0.975500575,7490.555614,3.248691383
0.977033877,7490.356417,3.24862429
0.978567193,7490.153632,3.248555928
0.980100523,7489.947303,3.248486313
0.981633867,7489.73748,3.248415463
0.983167226,7489.524209,3.248343394
0.984700599,7489.307539,3.248270124
0.986233987,7489.087519,3.248195669
0.98776739,7488.8642,3.248120048
0.989300808,7488.637633,3.248043279
0.990834241,7488.407869,3.247965379
0.99236769,7488.174962,3.247886369
0.993901154,7487.938964,3.247806265
0.995434634,7487.699931,3.247725089
0.996968129,7487.457916,3.247642859
0.99850164,7487.212977,3.247559594
1.000035167,7486.96517,3.247475316
1.001568711,7486.714551,3.247390044
1.003102271,7486.461181,3.247303799
1.004635847,7486.205117,3.247216602
1.006169439,7485.94642,3.247128474
1.007703048,7485.685131,3.247039429
1.009236674,7485.421271,3.246949475
1.010770317,7485.154849,3.246858616
1.012303976,7484.885879,3.246766856
1.013837653,7484.61437,3.246674197
1.015371347,7484.340333,3.246580645
1.016905058,7484.063779,3.246486203
1.018438787,7483.784719,3.246390875
1.019972533,7483.503165,3.246294666
1.021506297,7483.219129,3.246197578
1.023040078,7482.932622,3.246099617
1.024573877,7482.643658,3.246000787
1.026107695,7482.352248,3.245901092
1.02764153,7482.058407,3.245800537
1.029175383,7481.762146,3.245699127
1.030709255,7481.463479,3.245596866
1.032243145,7481.162421,3.245493759
1.033777054,7480.858985,3.245389812
1.035310981,7480.553185,3.245285028
1.036844927,7480.245036,3.245179414
1.038378892,7479.934553,3.245072975
1.039912876,7479.62175,3.244965716
1.041446878,7479.306645,3.244857642
1.0429809,7478.989251,3.244748759
1.044514941,7478.669584,3.244639072
1.046049001,7478.347662,3.244528588
1.047583081,7478.023501,3.244417312
1.04911718,7477.697117,3.244305249
1.050651299,7477.368527,3.244192407
1.052185438,7477.037749,3.244078791
1.053719596,7476.7048,3.243964408
1.055253775,7476.369699,3.243849263
1.056787973,7476.032462,3.243733363
1.058322191,7475.693109,3.243616714
1.05985643,7475.351659,3.243499324
1.061390689,7475.008129,3.243381199
1.062924968,7474.66254,3.243262345
1.064459268,7474.314911,3.24314277
1.065993588,7473.965262,3.24302248
1.067527929,7473.613612,3.242901483
1.069062291,7473.259982,3.242779786
1.070596674,7472.904393,3.242657396
1.072131077,7472.546866,3.24253432
1.073665501,7472.187421,3.242410566
1.075199947,7471.82608,3.242286142
1.076734414,7471.462865,3.242161055
1.078268902,7471.097798,3.242035312
1.079803411,7470.7309,3.241908923
1.081337942,7470.362195,3.241781894
1.082872494,7469.991705,3.241654234
1.084407068,7469.619453,3.24152595
1.085941664,7469.245463,3.241397052
1.087476281,7468.869758,3.241267548
1.08901092,7468.492362,3.241137445
1.090545581,7468.113299,3.241006752
1.092080264,7467.732593,3.240875479
1.093614969,7467.35027,3.240743634
1.095149696,7466.966354,3.240611225
1.096684445,7466.58087,3.240478262
1.098219217,7466.193845,3.240344753
1.099754011,7465.805303,3.240210708
1.101288827,7465.41527,3.240076135
1.102823666,7465.023774,3.239941045
1.104358527,7464.630841,3.239805447
1.105893411,7464.236497,3.239669349
1.107428317,7463.840769,3.239532763
1.108963246,7463.443686,3.239395696
1.110498198,7463.045274,3.23925816
1.112033173,7462.645563,3.239120164
1.113568171,7462.244579,3.238981717
1.115103192,7461.842351,3.238842831
1.116638235,7461.438909,3.238703515
1.118173302,7461.034281,3.23856378
1.119708392,7460.628497,3.238423635
1.121243505,7460.221586,3.238283092
1.122778641,7459.813578,3.23814216
1.124313801,7459.404503,3.238000852
1.125848984,7458.994392,3.237859176
1.12738419,7458.583275,3.237717145
1.12891942,7458.171184,3.237574769
1.130454673,7457.758149,3.237432058
1.13198995,7457.344201,3.237289026
1.13352525,7456.929374,3.237145681
1.135060573,7456.513698,3.237002037
1.136595921,7456.097207,3.236858103
1.138131292,7455.679932,3.236713893
1.139666687,7455.261907,3.236569417
1.141202105,7454.843164,3.236424687
1.142737547,7454.423738,3.236279715
1.144273013,7454.003661,3.236134512
1.145808503,7453.582968,3.235989092
1.147344017,7453.161693,3.235843465
1.148879555,7452.739871,3.235697645
1.150415116,7452.317535,3.235551643
1.151950701,7451.894722,3.235405472
1.153486311,7451.471466,3.235259144
1.155021944,7451.047804,3.235112671
1.156557602,7450.62377,3.234966068
1.158093283,7450.199402,3.234819345
1.159628988,7449.774735,3.234672517
1.161164718,7449.349799,3.234525594
1.162700471,7448.924613,3.234378581
1.164236249,7448.499196,3.234231487
1.16577205,7448.073562,3.234084316
1.167307876,7447.647729,3.233937073
1.168843726,7447.221711,3.233789765
1.1703796,7446.795523,3.233642397
1.171915498,7446.369182,3.233494974
1.17345142,7445.942701,3.233347502
1.174987366,7445.516094,3.233199984
1.176523337,7445.089377,3.233052428
1.178059331,7444.662564,3.232904836
1.17959535,7444.235667,3.232757215
1.181131393,7443.808701,3.232609569
1.18266746,7443.38168,3.232461904
1.184203551,7442.954615,3.232314222
1.185739667,7442.52752,3.23216653
1.187275806,7442.100408,3.232018831
1.18881197,7441.673291,3.23187113
1.190348158,7441.246182,3.231723431
1.19188437,7440.819091,3.231575738
1.193420606,7440.392031,3.231428056
