Mach,alpha_deg,delta_deg,CNd,CMd
0.3,2.0,-8.0,2.270345263205887,-2.4995283812582163
0.3,4.0,-8.0,2.2846692080841575,-2.5066903536973513
0.3,8.0,-8.0,2.370612877353781,-2.606957967845246
0.3,12.0,-8.0,2.4135847119885927,-2.6570917749191927
0.3,16.0,-8.0,2.1915635663753985,-2.413584711988593
0.3,20.0,-8.0,1.6759015507576578,-1.8549508617360397
0.5,0.0,-8.0,2.320479070279834,-2.5568241607712987
0.5,2.0,-8.0,2.291831180523293,-2.5281762710147575
0.5,4.0,-8.0,2.2989931529624283,-2.5353382434538925
0.5,8.0,-8.0,2.3992607671103223,-2.6427678300409223
0.5,12.0,-8.0,2.4565565466234034,-2.714387554432275
0.5,16.0,-8.0,2.220211456131941,-2.4422326017451343
0.5,20.0,-8.0,1.6615776058793872,-1.8263029719794994
0.8,0.0,-8.0,2.521014298575622,-2.778845306384493
0.8,2.0,-8.0,2.492366408819081,-2.7501974166279517
0.8,4.0,-8.0,2.5066903536973513,-2.764521361506222
0.8,8.0,-8.0,2.59979599540611,-2.864788975654116
0.8,12.0,-8.0,2.664253747358328,-2.9364087000454693
0.8,16.0,-8.0,2.4637185190625406,-2.714387554432275
0.8,20.0,-8.0,1.9981903105187453,-2.198725538814534
1.2,0.0,-8.0,2.2989931529624283,-2.6929016371148693
1.2,2.0,-8.0,2.2989931529624283,-2.7000636095540043
1.2,4.0,-8.0,2.3133170978406987,-2.714387554432275
1.2,8.0,-8.0,2.349126960036375,-2.7501974166279517
1.2,12.0,-8.0,2.3491269600363758,-2.7501974166279517
1.2,16.0,-8.0,2.270345263205888,-2.6642537473583277
1.2,20.0,-8.0,2.1127818695449103,-2.470880491501675
2.0,0.0,-8.0,1.0742958658702935,-1.2748310941660816
2.0,2.0,-8.0,1.0528099485528877,-1.2533451768486756
2.0,4.0,-8.0,1.0528099485528877,-1.2533451768486756
2.0,8.0,-8.0,1.1029437556268349,-1.3178029288008934
2.0,12.0,-8.0,1.1387536178225113,-1.3607747634357052
2.0,16.0,-8.0,1.1387536178225122,-1.3536127909965698
2.0,20.0,-8.0,1.1244296729442407,-1.3464508185574346
3.0,0.0,-8.0,0.6732254092787173,-0.8021409131831525
3.0,2.0,-8.0,0.666063436839582,-0.7949789407440172
3.0,4.0,-8.0,0.6660634368395819,-0.7949789407440171
3.0,8.0,-8.0,0.687549354156988,-0.8164648580614231
3.0,12.0,-8.0,0.7161972439135289,-0.8522747202570996
3.0,16.0,-8.0,0.7305211887917986,-0.8665986651353701
3.0,20.0,-8.0,0.7520071061092053,-0.8952465548919113
5.0,0.0,-8.0,0.39390848415244095,-0.4726901809829292
5.0,2.0,-8.0,0.3795845392741703,-0.4583662361046586
5.0,4.0,-8.0,0.3795845392741703,-0.4583662361046586
5.0,8.0,-8.0,0.4082324290307115,-0.4870141258611998
5.0,12.0,-8.0,0.458366236104659,-0.5514718778134173
5.0,16.0,-8.0,0.4941760983003355,-0.594443712448229
5.0,20.0,-8.0,0.5371479329351464,-0.6445775195221761
7.0,0.0,-8.0,0.2936408700045469,-0.35093664951762926
7.0,2.0,-8.0,0.2793169251262763,-0.32945073220022336
7.0,4.0,-8.0,0.27931692512627615,-0.32945073220022336
7.0,8.0,-8.0,0.31512678732195265,-0.37958453927417035
7.0,12.0,-8.0,0.3867465117133052,-0.4583662361046586
7.0,16.0,-8.0,0.429718346348117,-0.5085000431786055
7.0,20.0,-8.0,0.4870141258612002,-0.5872817400090938
9.0,0.0,-8.0,0.2435070629305999,-0.2936408700045469
9.0,2.0,-8.0,0.222021145613194,-0.2649929802480057
9.0,4.0,-8.0,0.2148591731740589,-0.2578310078088704
9.0,8.0,-8.0,0.27215495268714085,-0.32228875976108806
9.0,12.0,-8.0,0.35093664951762876,-0.4225563739089821
9.0,16.0,-8.0,0.4010704565915758,-0.4726901809829292
9.0,20.0,-8.0,0.4726901809829296,-0.5657958226916879
11.0,0.0,-8.0,0.2148591731740587,-0.2578310078088704
11.0,2.0,-8.0,0.18621128341751755,-0.222021145613194
11.0,4.0,-8.0,0.17904931097838242,-0.21485917317405873
11.0,8.0,-8.0,0.24350706293059968,-0.2864788975654116
