Mach,alpha_deg,def_pitch,Cnd,Cmd
2.0,2.0,-12.0,2.678577692236598,-8.050057021588065
2.0,4.0,-12.0,2.673803043943842,-8.035733076709795
2.0,8.0,-12.0,2.72154952687141,-8.169423228906986
2.0,12.0,-12.0,2.788394602970006,-8.374733105495531
2.0,16.0,-12.0,2.817042492726548,-8.465451423057914
2.0,20.0,-12.0,2.8313664376048178,-8.51319790598548
3.0,0.0,-12.0,1.6520283092938735,-4.965634224467134
3.0,2.0,-12.0,1.6233804195373323,-4.884465203490267
3.0,4.0,-12.0,1.6186057712445754,-4.855817313733727
3.0,8.0,-12.0,1.64247901270836,-4.936986334710594
3.0,12.0,-12.0,1.6854508473431724,-5.061127190322272
3.0,16.0,-12.0,1.7140987370997127,-5.156620156177409
3.0,20.0,-12.0,1.7475212751490112,-5.256887770325303
4.0,0.0,-12.0,1.2223099629457561,-3.6669298888372683
4.0,2.0,-12.0,1.188887424896458,-3.5666622746893744
4.0,4.0,-12.0,1.1697888317254306,-3.5236904400545623
4.0,8.0,-12.0,1.193662073189215,-3.585760867860402
4.0,12.0,-12.0,1.2366339078240272,-3.714676371764837
4.0,16.0,-12.0,1.298704335629866,-3.900887655182354
4.0,20.0,-12.0,1.3798733566067332,-4.144394718112955
5.0,0.0,-12.0,0.9979014931861837,-3.003253776144065
5.0,2.0,-12.0,0.954929658551372,-2.8647889756541156
5.0,4.0,-12.0,0.9310564170875877,-2.8027185478482766
5.0,8.0,-12.0,0.954929658551372,-2.860014327361359
5.0,12.0,-12.0,1.0026761414789405,-3.0128030727295787
5.0,16.0,-12.0,1.0742958658702928,-3.232436894196394
5.0,20.0,-12.0,1.15546488684716,-3.480718605419751
0.3,0.0,-8.0,4.984732817638162,-14.20219134680528
0.3,2.0,-8.0,4.898789148368538,-13.965846256313815
0.3,4.0,-8.0,4.9131130932468094,-13.980170201192086
0.3,8.0,-8.0,5.142296211299138,-14.646233638031669
0.3,12.0,-8.0,5.335669467155792,-15.190543543405951
0.3,16.0,-8.0,5.142296211299136,-14.62474772071426
0.3,20.0,-8.0,4.4117750225073395,-12.547775713365029
0.5,0.0,-8.0,5.085000431786056,-14.495832216809827
0.5,2.0,-8.0,5.0133807073947025,-14.302458960953174
0.5,4.0,-8.0,5.027704652272974,-14.32394487827058
0.5,8.0,-8.0,5.242563825447032,-14.93271253559708
0.5,12.0,-8.0,5.4001272191080085,-15.383916799262602
0.5,16.0,-8.0,5.142296211299138,-14.639071665592533
0.5,20.0,-8.0,4.2756975461637685,-12.175353146529993
0.8,0.0,-8.0,5.235401853007897,-14.918388590718811
0.8,2.0,-8.0,5.221077908129627,-14.88974070096227
0.8,4.0,-8.0,5.2497257978861676,-14.961360425353622
0.8,8.0,-8.0,5.378641301790602,-15.31229707487125
0.8,12.0,-8.0,5.435937081303686,-15.505670330727904
0.8,16.0,-8.0,5.178106073494815,-14.739339279740426
0.8,20.0,-8.0,4.354479242994254,-12.39021231970405
1.2,0.0,-8.0,5.464584971060226,-16.314973216350193
1.2,2.0,-8.0,5.493232860816768,-16.386592940741544
1.2,4.0,-8.0,5.521880750573309,-16.48686055488944
1.2,8.0,-8.0,5.593500474964662,-16.694557755624363
1.2,12.0,-8.0,5.607824419842932,-16.751853535137442
1.2,16.0,-8.0,5.507556805695039,-16.43672674781549
1.2,20.0,-8.0,5.1852680459339515,-15.505670330727904
2.0,0.0,-8.0,2.7072255819931397,-8.128838718418555
2.0,2.0,-8.0,2.6570917749191927,-7.978437297196714
2.0,4.0,-8.0,2.6570917749191927,-7.985599269635848
2.0,8.0,-8.0,2.778845306384493,-8.343697891592614
2.0,12.0,-8.0,2.850465030775845,-8.558557064766672
2.0,16.0,-8.0,2.8361410858975744,-8.537071147449266
2.0,20.0,-8.0,2.843303058336712,-8.551395092327537
3.0,0.0,-8.0,1.6329297161228462,-4.898789148368539
3.0,2.0,-8.0,1.6114437988054404,-4.855817313733727
3.0,4.0,-8.0,1.6186057712445754,-4.862979286172862
3.0,8.0,-8.0,1.661577605879388,-5.006218734955567
3.0,12.0,-8.0,1.7188733853924711,-5.163782128616545
3.0,16.0,-8.0,1.7475212751490108,-5.242563825447032
3.0,20.0,-8.0,1.7618452200272814,-5.30702157739925
4.0,0.0,-8.0,1.1888874248964583,-3.5666622746893744
4.0,2.0,-8.0,1.1674015075790523,-3.5165284676154274
4.0,4.0,-8.0,1.1674015075790523,-3.5165284676154274
4.0,8.0,-8.0,1.2175353146529988,-3.652605943958998
4.0,12.0,-8.0,1.2748310941660828,-3.8173313100591098
4.0,16.0,-8.0,1.3464508185574358,-4.039352455672304
4.0,20.0,-8.0,1.4395564602661939,-4.31866938079858
5.0,0.0,-8.0,0.9525423344049937,-2.857627003214981
5.0,2.0,-8.0,0.9238944446484525,-2.778845306384493
5.0,4.0,-8.0,0.9167324722093172,-2.7716833339453575
5.0,8.0,-8.0,0.9740282517223996,-2.9364087000454693
5.0,12.0,-8.0,1.0456479761137518,-3.1369439283412577
