6 13  9												
0.0  4.0   8.0   12.0   16.0    20.0												
0.3  0.5  .8   1.2   1.5  2.0  3.0   4.0   5.0   6.0   7.0    8.0  9.0												
0.0  10000.0  20000.0  30000.0  40000.0  50000.0  60000.0  70000.0   77000.0  												
												
CA-A0.0												
												
0.41	0.38	0.386	0.559	0.492	0.42	0.327	0.27	0.239	0.212	0.194	0.182	0.17
0.411	0.381	0.384	0.553	0.469	0.412	0.329	0.277	0.25	0.225	0.209	0.197	0.185
0.402	0.371	0.373	0.537	0.438	0.4	0.332	0.287	0.264	0.243	0.228	0.219	0.21
0.377	0.348	0.346	0.504	0.401	0.384	0.335	0.298	0.282	0.264	0.253	0.246	0.239
												
CA-A40000.0												
												
0.537	0.49	0.493	0.62	0.575	0.486	0.375	0.308	0.272	0.24	0.217	0.203	0.189
0.533	0.486	0.489	0.619	0.57	0.484	0.375	0.309	0.274	0.242	0.22	0.206	0.192
0.529	0.482	0.481	0.616	0.556	0.478	0.376	0.313	0.28	0.25	0.229	0.215	0.201
0.53	0.483	0.478	0.609	0.532	0.468	0.377	0.32	0.291	0.262	0.243	0.231	0.219
0.518	0.471	0.467	0.593	0.5	0.455	0.379	0.328	0.304	0.279	0.262	0.252	0.242
0.492	0.446	0.44	0.559	0.46	0.439	0.38	0.338	0.32	0.299	0.286	0.277	0.268
												
CA-A50000.0												
												
0.711	0.636	0.628	0.701	0.665	0.569	0.446	0.371	0.333	0.298	0.273	0.256	0.239
0.707	0.632	0.624	0.7	0.66	0.566	0.446	0.372	0.335	0.3	0.276	0.26	0.244
0.702	0.627	0.616	0.696	0.645	0.559	0.446	0.376	0.342	0.307	0.284	0.268	0.252
0.701	0.626	0.612	0.688	0.62	0.548	0.446	0.381	0.35	0.319	0.298	0.284	0.27
0.688	0.614	0.6	0.671	0.586	0.533	0.446	0.388	0.363	0.334	0.315	0.303	0.291
0.66	0.586	0.57	0.636	0.543	0.514	0.445	0.397	0.377	0.353	0.336	0.327	0.318
												
CA-A-60000.0												
												
0.956	0.837	0.813	0.809	0.786	0.68	0.544	0.462	0.423	0.385	0.358	0.341	0.324
0.951	0.832	0.808	0.808	0.781	0.677	0.544	0.462	0.425	0.387	0.36	0.344	0.328
0.945	0.827	0.8	0.803	0.764	0.669	0.543	0.465	0.431	0.393	0.368	0.351	0.334
0.943	0.825	0.794	0.795	0.737	0.656	0.541	0.469	0.438	0.403	0.379	0.366	0.353
0.927	0.81	0.78	0.777	0.7	0.638	0.54	0.474	0.448	0.417	0.396	0.384	0.372
0.897	0.78	0.748	0.74	0.655	0.617	0.536	0.48	0.461	0.434	0.416	0.406	0.396
												
CA-A70000.0												
												
1.362	1.163	1.107	0.979	0.978	0.855	0.704	0.611	0.578	0.537	0.511	0.497	0.483
1.358	1.158	1.102	0.978	0.972	0.853	0.703	0.612	0.579	0.538	0.513	0.499	0.485
1.35	1.15	1.091	0.973	0.954	0.843	0.7	0.613	0.582	0.544	0.519	0.507	0.495
