Alpha: 0.,4.,8.,12.,16.,20.
Mach: 0.3,	0.5,	0.8,	1.2,	1.5,	2,	3,	4,	5,	6,	7,	8,9

CM_A												
												
-0.092	-0.093	-0.096	-0.096	-0.09	-0.079	-0.062	-0.051	-0.044	-0.039	-0.035	-0.032	-0.029
-0.091	-0.091	-0.087	-0.084	-0.084	-0.072	-0.06	-0.05	-0.044	-0.041	-0.039	-0.037	-0.035
-0.091	-0.093	-0.079	-0.076	-0.081	-0.07	-0.06	-0.052	-0.047	-0.044	-0.042	-0.04	-0.038
-0.105	-0.109	-0.082	-0.078	-0.082	-0.072	-0.063	-0.055	-0.05	-0.047	-0.046	-0.044	-0.042
-0.116	-0.121	-0.089	-0.08	-0.081	-0.073	-0.065	-0.057	-0.053	-0.051	-0.049	-0.047	-0.045
												
CA_D												
												
0.285	0.284	0.314	0.511	0.451	0.376	0.268	0.208	0.17	0.149	0.134	0.124	0.114
0.287	0.286	0.317	0.523	0.46	0.382	0.273	0.211	0.173	0.15	0.135	0.126	0.117
0.309	0.31	0.35	0.557	0.487	0.401	0.284	0.22	0.18	0.156	0.141	0.131	0.121
0.349	0.349	0.409	0.613	0.529	0.433	0.305	0.235	0.194	0.168	0.152	0.141	0.13
0.385	0.386	0.47	0.681	0.586	0.477	0.334	0.259	0.214	0.188	0.17	0.159	0.148
0.423	0.426	0.544	0.761	0.656	0.532	0.375	0.292	0.244	0.216	0.199	0.187	0.175
												
CAalfa												
	0.268	0.267	0.266	0.578	0.371	0.335	0.306	0.266	0.236	0.217	0.204	0.194
	0.268	0.266	0.266	0.578	0.371	0.335	0.307	0.266	0.237	0.218	0.205	0.195
	0.267	0.266	0.265	0.578	0.369	0.335	0.307	0.267	0.238	0.22	0.207	0.197
	0.27	0.268	0.265	0.577	0.367	0.334	0.307	0.269	0.241	0.223	0.21	0.2
	0.276	0.274	0.268	0.574	0.364	0.333	0.308	0.271	0.244	0.227	0.214	0.205
	0.284	0.281	0.273	0.571	0.36	0.332	0.309	0.274	0.248	0.232	0.22	0.211
	0.287	0.284	0.274	0.566	0.355	0.331	0.31	0.277	0.253	0.238	0.227	0.219
	0.281	0.278	0.269	0.558	0.349	0.329	0.311	0.282	0.259	0.245	0.235	0.227
	0.274	0.272	0.264	0.547	0.343	0.327	0.312	0.286	0.266	0.253	0.244	0.237
	0.262	0.26	0.252	0.53	0.335	0.325	0.313	0.291	0.273	0.262	0.253	0.247
	0.247	0.244	0.235	0.506	0.327	0.323	0.314	0.297	0.281	0.271	0.264	0.259
