11   13   5
0.0  2.0  4.0   6.0  8.0  10.0   12.0  14.0  16.0   18.0    20.0
0.3  0.5  .8   1.2   1.5  2.0   3.0   4.0   5.0   6.0   7.0    8.0  9.0
0 5 10 15 20

del0
0   0   0    0   0   0   0  0   0   0   0  0    0   
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0    
0   0   0    0   0   0   0  0   0   0   0  0    0        
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0     
0   0   0    0   0   0   0  0   0   0   0  0    0    
0   0   0    0   0   0   0  0   0   0   0  0    0        
 
del=5y												
-0.0340	-0.0272	-0.0184	-0.0850	-0.1100	-0.1590	-0.2057	-0.1620	-0.1340	-0.1190	-0.1112	-0.1060	-0.1008
0.0027	0.0193	-0.0045	-0.0851	-0.0974	-0.1436	-0.2106	-0.1791	-0.1476	-0.1304	-0.1202	-0.1125	-0.1048
0.0306	0.0527	0.0056	-0.0823	-0.1022	-0.1618	-0.2372	-0.1986	-0.1616	-0.1419	-0.1305	-0.1218	-0.1131
0.0585	0.0861	0.0156	-0.0794	-0.1069	-0.1800	-0.2639	-0.2181	-0.1756	-0.1534	-0.1407	-0.1310	-0.1214
0.0864	0.1194	0.0257	-0.0765	-0.1117	-0.1982	-0.2905	-0.2376	-0.1897	-0.1649	-0.1510	-0.1403	-0.1297
												
del=15y												
-0.1623	-0.1413	-0.1221	-0.2060	-0.1556	-0.0920	-0.1090	-0.1180	-0.1260	-0.1310	-0.1330	-0.1350	-0.1370
-0.1330	-0.1170	-0.1160	-0.1976	-0.1540	-0.1020	-0.1180	-0.1240	-0.1290	-0.1300	-0.1375	-0.1454	-0.1533
-0.1200	-0.1080	-0.1055	-0.1874	-0.1490	-0.1170	-0.1350	-0.1410	-0.1433	-0.1431	-0.1420	-0.1409	-0.1398
-0.1140	-0.1030	-0.1050	-0.1830	-0.1460	-0.1350	-0.1560	-0.1680	-0.1730	-0.1631	-0.1575	-0.1521	-0.1467
-0.1040	-0.0945	-0.1048	-0.1750	-0.1450	-0.1500	-0.1960	-0.2100	-0.1974	-0.1830	-0.1730	-0.1635	-0.1540
-0.0900	-0.0816	-0.0935	-0.1570	-0.1420	-0.1700	-0.2540	-0.2240	-0.2090	-0.1840	-0.1725	-0.1617	-0.1509
-0.0990	-0.0847	-0.0896	-0.1425	-0.1650	-0.2660	-0.2850	-0.2380	-0.2050	-0.1850	-0.1720	-0.1599	-0.1478
-0.0758	-0.0680	-0.0848	-0.1378	-0.1510	-0.2461	-0.3020	-0.2646	-0.2334	-0.2042	-0.1865	-0.1698	-0.1530
-0.0653	-0.0589	-0.0796	-0.1276	-0.1510	-0.2708	-0.3328	-0.2870	-0.2495	-0.2152	-0.1943	-0.1744	-0.1545
-0.0549	-0.0499	-0.0745	-0.1175	-0.1510	-0.2955	-0.3635	-0.3095	-0.2656	-0.2263	-0.2021	-0.1791	-0.1560
-0.0445	-0.0408	-0.0694	-0.1073	-0.1510	-0.3202	-0.3943	-0.3320	-0.2817	-0.2374	-0.2099	-0.1837	-0.1575
												
del=20												
-0.1623	-0.1413	-0.1221	-0.2060	-0.1556	-0.0920	-0.1090	-0.1180	-0.1260	-0.1310	-0.1330	-0.1350	-0.1370
-0.1330	-0.1170	-0.1160	-0.1976	-0.1540	-0.1020	-0.1180	-0.1240	-0.1290	-0.1300	-0.1375	-0.1454	-0.1533
-0.1200	-0.1080	-0.1055	-0.1874	-0.1490	-0.1170	-0.1350	-0.1410	-0.1433	-0.1431	-0.1420	-0.1409	-0.1398
-0.1140	-0.1030	-0.1050	-0.1830	-0.1460	-0.1350	-0.1560	-0.1680	-0.1730	-0.1631	-0.1575	-0.1521	-0.1467
-0.1040	-0.0945	-0.1048	-0.1750	-0.1450	-0.1500	-0.1960	-0.2100	-0.1974	-0.1830	-0.1730	-0.1635	-0.1540
-0.0900	-0.0816	-0.0935	-0.1570	-0.1420	-0.1700	-0.2540	-0.2240	-0.2090	-0.1840	-0.1725	-0.1617	-0.1509
-0.0990	-0.0847	-0.0896	-0.1425	-0.1650	-0.2660	-0.2850	-0.2380	-0.2050	-0.1850	-0.1720	-0.1599	-0.1478
-0.0758	-0.0680	-0.0848	-0.1378	-0.1510	-0.2461	-0.3020	-0.2646	-0.2334	-0.2042	-0.1865	-0.1698	-0.1530
-0.0653	-0.0589	-0.0796	-0.1276	-0.1510	-0.2708	-0.3328	-0.2870	-0.2495	-0.2152	-0.1943	-0.1744	-0.1545
-0.0549	-0.0499	-0.0745	-0.1175	-0.1510	-0.2955	-0.3635	-0.3095	-0.2656	-0.2263	-0.2021	-0.1791	-0.1560
-0.0445	-0.0408	-0.0694	-0.1073	-0.1510	-0.3202	-0.3943	-0.3320	-0.2817	-0.2374	-0.2099	-0.1837	-0.1575


